country,channel,impressions,clicks,cost,installs,visits,purchases,revenue
E,SEM-Flights,980,23,1.22,,25,4,0.8
E,SEM-Flights,638,12,1.1,,12,1,0.26
E,SEM-Flights,136,4,0.57,,4,0,
E,SEM-Flights,240,9,0.53,,10,0,
E,SEM-Flights,155,15,0.47,,16,0,0.03
E,SEM-Flights,82,9,0.46,,8,0,3.43
E,SEM-Flights,126,7,0.25,,7,1,0.45
E,SEM-Flights,141,5,0.22,,2,0,
E,SEM-Flights,25,2,0.2,,1,0,0.05
E,SEM-Flights,242,4,0.15,,5,0,
E,SEM-Flights,42,1,0.12,,1,0,
E,SEM-Flights,5,1,0.1,,1,0,
E,SEM-Flights,22,1,0.05,,1,0,
E,SEM-Flights,26,1,0.03,,1,0,
E,SEM-Hotels,121676,10441,901.7,,9026,1353,698.01
E,SEM-Hotels,29570,2274,226.76,,411,70,37.47
E,SEM-Hotels,15747,953,196.36,,901,146,74.67
E,SEM-Hotels,29392,2071,170.83,,1836,341,184.98
E,SEM-Hotels,27891,2052,130.96,,1588,187,89.61
E,SEM-Hotels,17105,1053,121.55,,817,167,72.71
E,SEM-Hotels,7995,492,112.02,,460,114,57.46
E,SEM-Hotels,9807,794,92.91,,218,28,13.58
E,SEM-Hotels,13678,1334,89.44,,1066,165,70.81
E,SEM-Hotels,6947,557,51.95,,498,80,50.55
E,SEM-Hotels,10342,697,50.2,,550,52,26.07
E,SEM-Hotels,4058,243,50.1,,78,12,8.47
E,SEM-Hotels,10698,452,49.11,,358,58,24.47
E,SEM-Hotels,5898,370,43.19,,292,38,17.07
E,SEM-Hotels,2490,124,31.13,,60,15,6.67
E,SEM-Hotels,4994,300,29.31,,262,36,25.83
E,SEM-Hotels,5699,421,26.16,,340,28,11.51
E,SEM-Hotels,5439,226,24.25,,179,32,16.4
E,SEM-Hotels,2205,64,21.97,,62,14,6.59
E,SEM-Hotels,4172,205,21.12,,165,16,6.29
E,SEM-Hotels,1548,83,14.55,,89,9,3.92
E,SEM-Hotels,1815,131,12.03,,111,21,11.41
E,SEM-Hotels,789,46,11.62,,47,8,4.11
E,SEM-Hotels,374,29,11.29,,33,25,10.77
E,SEM-Hotels,1717,114,10.53,,86,8,8.73
E,SEM-Hotels,888,49,9.11,,44,5,2.44
E,SEM-Hotels,848,83,9.06,,70,12,8.88
E,SEM-Hotels,969,44,8.26,,37,5,4.13
E,SEM-Hotels,1518,126,8.13,,109,7,3.82
E,SEM-Hotels,268,27,4.85,,20,6,5.94
E,SEM-Hotels,279,16,2.63,,16,0,
E,SEM-Hotels,304,23,2.51,,16,1,0.5
E,SEM-Hotels,161,12,2.43,,11,1,0.5
E,SEM-Hotels,56,7,1.8,,6,1,0.45
E,SEM-Hotels,830,34,1.45,,29,1,0.5
E,SEM-Hotels,205,18,1.24,,14,3,5.04
E,SEM-Hotels,167,11,0.57,,10,0,0.25
E,SEM-Hotels,22,3,0.49,,3,0,0.32
E,SEM-Hotels,40,0,0,,1,0,
I,Web-Retargeting,2559178,51543,3618.85,,,12528,894.08
I,Web-Retargeting,500410,9340,614.89,,,4296,396.79
I,Web-Retargeting,19757,749,244.6,,,150,21.91
I,Web-Retargeting,19797,748,222.68,,,164,31.64
I,Web-Retargeting,1564898,1380,151.64,,889,60,4.7
I,Web-Retargeting,105383,6083,146.8,,3820,23,8.44
I,Web-Retargeting,124371,5701,146.77,,3639,24,8.93
I,Web-Retargeting,80939,5542,146.02,,3291,26,11.77
I,Web-Retargeting,11015,176,7.81,,,48,0.54
I,SEM-Brand,74940,15203,701.03,,19856,7457,726.27
I,SEM-Brand,18405,1907,174.36,,1757,548,79.08
I,SEM-Flights,489301,3173,755.41,,2761,737,73.83
I,SEM-Flights,34527,967,292.32,,953,102,5.68
I,SEM-Flights,24422,1825,292.14,,1685,179,21.33
I,SEM-Flights,25996,1894,291.88,,1785,349,36.26
I,SEM-Flights,29447,1847,291.24,,1802,268,25.26
I,SEM-Flights,31790,957,291,,967,107,5.27
I,SEM-Flights,24231,2140,290.96,,1901,143,12.69
I,SEM-Flights,75536,724,146.48,,680,66,3.02
I,SEM-Flights,11342,766,113.69,,682,136,14.64
I,SEM-Flights,13334,241,78.67,,236,86,8.12
I,SEM-Flights,110937,259,36.57,,236,24,1.44
I,SEM-Flights,7233,86,14.14,,82,2,0.32
I,SEM-Flights,828,43,2.93,,32,0,
I,SEM-Flights,813,25,0.74,,20,1,0.16
I,SEM-Hotels,36701,557,71.77,,521,60,18.6
I,SEM-Hotels,11267,204,42.82,,185,23,6.67
I,SEM-Hotels,2899,124,18.4,,116,8,1.92
I,SEM-Hotels,3516,108,12.33,,96,7,1.22
I,SEM-Hotels,2586,85,12.15,,79,3,1.15
I,SEM-Hotels,1119,75,7.22,,69,3,0.83
I,SEM-Hotels,620,11,1.52,,9,2,0.8
J,APP-Acquisition-Android,4919254,19705,"1,387","1,956",,5080,111.67
J,APP-Acquisition-Android,1518791,7486,466,867,,1265,48.97
J,APP-Acquisition-iOS,5821203,24623,"2,258","2,083",,994,196.3
J,APP-Acquisition-iOS,1006595,4916,"1,131","1,043",,414,70.62
J,Web-Retargeting,891632,4879,105.13,,4138,66,13.54
J,Web-Retargeting,403629,5380,102.36,,4294,14,2.06
J,Web-Retargeting,5618,1237,43.86,,33,8,1.64
J,Web-Retargeting,1736,351,12.87,,12,0,0
J,Web-Retargeting,1614,300,12.23,,9,0,0.08
J,Web-Retargeting,38021,80,4.71,,74,1,0.68
